,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
22,73.28651929,73.76441383,100.7259134,100.7259134,98.24736261,101.4210411,104.8533442,94.45651187,116.2272365,111.3632109,0.00979321,0.00889409,0.010767142,0.00979321,0.007071759,0.007163145,0.003594489,0.00265191,0.387
23,80.94034858,80.94923547,111.7658064,111.7658064,107.9303632,111.7787902,115.6320213,104.0704669,127.2117118,123.3318564,0.010978431,0.009980225,0.011978048,0.010978431,0.007983352,0.007985084,0.003992785,0.002993757,0.387
24,87.0212403,86.62618954,120.5721905,120.5721905,115.5881401,119.9930945,124.184629,111.6928478,135.871183,132.8633253,0.011932234,0.010855022,0.012946114,0.011932234,0.008721387,0.008643348,0.004310797,0.00327052,0.387
25,51.47511898,53.00167834,69.5835363,69.5835363,70.32970091,71.76891407,74.03719569,66.9149201,84.30021125,77.45934842,0.006523389,0.005903959,0.007370386,0.006523389,0.004594677,0.004867744,0.002473588,0.001723004,0.387
26,98.66650629,97.42827551,137.5162842,137.5162842,130.1747434,135.6908765,140.5389299,126.2548693,152.3047294,151.1671303,0.01378643,0.012557301,0.01481357,0.01378643,0.01016629,0.009915801,0.004923343,0.003812359,0.387
27,70.29123513,70.93976969,96.41994712,96.41994712,94.44345139,97.36150522,100.6306766,90.68764864,111.9006194,106.688562,0.009334314,0.008473853,0.010295716,0.009334314,0.006720579,0.00684362,0.00343926,0.002520217,0.387
28,83.26250713,83.12027017,115.1252245,115.1252245,110.8582276,114.9171369,118.8991702,106.9828697,130.525323,126.969456,0.011341441,0.010313092,0.012347126,0.011341441,0.008263797,0.008235933,0.004114069,0.003098924,0.387
29,66.50017242,67.35351196,90.98237468,90.98237468,89.61636418,92.21818321,95.28226092,85.91187264,106.4003257,100.7798819,0.008757709,0.007946074,0.009701145,0.008757709,0.006280824,0.006441033,0.00324334,0.002355309,0.387
30,172.5230388,164.3431805,246.8496117,246.8496117,220.883595,234.4828445,243.6940281,217.7935384,253.1219393,268.4374073,0.0262149,0.024009074,0.02697902,0.0262149,0.020108244,0.018268446,0.008891763,0.007540591,0.387
31,62.69904739,63.74450328,85.54498582,85.54498582,84.76159196,87.05500083,89.91507279,81.11679381,100.8567284,94.86487193,0.008184508,0.007421705,0.009107474,0.008184508,0.005845422,0.006039528,0.003047549,0.002192033,0.387
32,37.16009019,39.07262551,49.46947008,49.46947008,51.66815786,52.16746964,53.708833,48.68908893,62.68638127,55.41676704,0.004484504,0.004045712,0.005195819,0.004484504,0.003086847,0.003408563,0.001752318,0.001157568,0.387
33,56.080919,57.42662313,76.11543685,76.11543685,76.27049763,78.04936734,80.55845884,72.75098403,91.13036002,84.59026929,0.00719907,0.006520965,0.008080176,0.00719907,0.005101325,0.005345967,0.00270832,0.001912997,0.387
34,54.49407461,55.90482931,73.86203307,73.86203307,74.22677777,75.8868264,78.31261514,70.74163596,88.78313374,82.13154128,0.006965299,0.006307436,0.007835132,0.006965299,0.004925691,0.005180773,0.002627316,0.001847134,0.387
